Guidelines;Weekly Views;Monthly Views
Overall;110,150,234,345,536,885,999;1000,1459,1800,2088
Community-acquired pneumonia in hospitalized patients;10,50,165,186,176,164,170;214,300,345,318
Healthcare-associated Pneumonia (NOT ventilator-associated);5,40,134,180,198,142,139;210,256,295,276
Ventilator-associated Pneumonia (VAP);10,20,25,105,135,142,143;40,80,100,113
Seasonal Influenza Diagnosis and Management;3,10,60,80,100,122,132;12,240,320,198
Tuberculosis (TB) Infection;2,1,5,15,2,10,20;8,20,8,50
Adult Anti-Infective Dosing Guide;20,150,160,180,250,241,231;600,856,698,585
Ampicillin/sulbactam (Unasyn);10,13,25,36,24,14,30;20,30,56,80
Sepsis Guidelines;15,140,105,84,72,70,63;500,400,312,273
Bacteriuria in Patients with Neurogenic Bladder and/or Indwelling Catheters;2,14,15,17,16,17,18;24,53,56,53
Bloodstream Infections;10,20,24,25,26,27,28;40,45,42,53
Catheter-associated UTI (CAUTI);1,0,15,15,25,25,25;34,55,45,68
